#{"t_start": 1650530972.1032615, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
237.75,237.75,1000,3.27,0
245.92,245.92,1000,3.05,0
406.36,97.21,1000,10.24,1
322.04,119.74,1000,3.14,1
268.24,268.24,1000,16.7,0
337.17,76.73,1000,3.01,1
301.14,301.14,1000,16.9,0
347.14,286.59,1000,3.15,1
324.08,52.07,1000,17.25,1
376.49,83.42,1000,3.02,1
408.57,408.57,1000,17.45,0
445.04,195.41,1000,3.09,1
356.26,128.6,1000,17.02,1
450.17,450.17,1000,2.93,0
456.9,236.94,1000,17.05,1
405.7,171.02,1000,3.25,1
489.22,305.52,1000,17.36,1
620.18,293.79,1000,3.24,1
591.94,591.94,1000,17.16,0
556.29,69.64,1000,3.26,1
624.41,221.53,1000,17.31,1
623.76,506.5,1000,3.18,1
632.41,632.41,1000,17.37,0
691.13,377.72,1000,2.99,1
657.22,174.27,1000,16.34,1
663.2,159.68,1000,3.06,1
704.55,102.63,1000,16.88,1
766.47,54.53,1000,3.06,1
795.61,201.22,1000,17.23,1
802.52,678.9,1000,3.23,1
826.41,826.41,1000,16.68,0
786.03,253.0,1000,3.19,1
815.19,128.49,1000,17.26,1
810.21,228.42,1000,3.22,1
898.69,898.69,1000,16.8,0
849.61,849.61,1000,3.1,0
888.24,91.31,1000,16.84,1
871.27,871.27,1000,2.89,0
966.74,429.12,1000,17.06,1
915.96,188.62,1000,3.09,1
897.76,0,1000,2.93,1
942.78,115.09,1000,2.99,1
884.18,55.18,1000,16.56,1
991.72,65.37,1000,3.0,1
974.63,100.99,1000,16.67,1
966.66,213.15,1000,3.0,1
1052.02,584.31,1000,15.69,1
1003.14,854.33,1000,2.98,1
958.21,842.98,1000,12.55,1
1010.27,745.24,1000,2.94,1
1039.74,175.53,1000,12.43,1
990.79,79.92,1000,3.2,1
969.04,969.04,1000,15.11,0
1007.68,337.23,1000,3.19,1
1082.87,616.45,1000,15.0,1
958.01,124.96,1000,3.17,1
979.64,56.35,1000,12.7,1
1007.4,482.67,1000,3.24,1
1076.25,379.19,1000,11.72,1
947.28,568.02,1000,3.18,1
1022.97,100.45,1000,6.09,1
1118.07,65.17,1000,3.03,1
994.63,476.8,1000,11.75,1
1011.04,1011.04,1000,3.05,0
1097.68,102.94,1000,12.42,1
1124.24,305.73,1000,3.24,1
1119.95,473.25,1000,11.52,1
998.82,317.49,1000,3.13,1
983.68,983.68,1000,7.08,0
1170.64,165.96,1000,2.98,1
1084.04,71.58,1000,8.64,1
1032.65,61.34,1000,3.36,1
1017.54,826.91,1000,9.05,1
1089.54,140.66,1000,3.21,1
1176.76,63.75,1000,7.41,1
985.2,985.2,1000,3.39,0
1039.12,196.72,1000,7.5,1
1057.33,203.15,1000,3.3,1
1134.48,59.6,1000,9.11,1
1109.15,714.26,1000,3.31,1
1061.33,172.45,1000,3.14,1
1111.48,60.53,1000,3.11,1
1065.04,253.93,1000,8.84,1
