#{"t_start": 1650536877.8774917, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
280.85,280.85,1000,4.42,0
231.91,231.91,1000,4.19,0
284.07,284.07,1000,12.63,0
290.82,290.82,1000,3.46,0
265.79,146.85,1000,20.84,1
353.58,50.8,1000,3.53,1
369.7,87.85,1000,17.02,1
298.87,298.87,1000,3.0,0
431.29,124.96,1000,16.84,1
346.78,346.78,1000,3.12,0
441.32,441.32,1000,17.48,0
439.87,439.87,1000,3.02,0
406.48,406.48,1000,16.69,0
447.97,56.6,1000,2.95,1
472.45,472.45,1000,17.45,0
495.23,93.96,1000,3.14,1
588.23,257.33,1000,17.23,1
587.9,145.79,1000,3.13,1
525.73,335.1,1000,17.23,1
505.34,139.51,1000,3.37,1
577.09,330.87,1000,17.06,1
619.22,139.97,1000,3.05,1
637.13,169.32,1000,17.14,1
678.65,270.41,1000,3.3,1
652.52,368.2,1000,16.97,1
744.16,545.32,1000,3.18,1
717.3,367.85,1000,18.08,1
724.53,274.73,1000,3.19,1
708.04,78.16,1000,17.22,1
749.68,444.7,1000,3.12,1
825.89,335.07,1000,15.86,1
822.18,97.0,1000,3.07,1
797.69,116.94,1000,16.73,1
823.64,430.62,1000,2.97,1
834.18,418.91,1000,16.65,1
836.24,185.01,1000,3.17,1
865.87,544.8,1000,16.54,1
898.58,68.2,1000,2.86,1
912.59,53.21,1000,16.26,1
866.31,140.18,1000,2.93,1
890.14,0,1000,2.99,1
937.02,411.14,1000,3.23,1
978.69,335.58,1000,16.65,1
903.61,620.5,1000,2.98,1
956.84,756.82,1000,17.16,1
925.55,871.42,1000,3.23,1
973.82,324.24,1000,17.34,1
958.77,958.77,1000,2.91,0
997.84,997.84,1000,13.85,0
947.65,947.65,1000,3.08,0
967.44,649.1,1000,11.07,1
960.96,960.96,1000,2.88,0
1032.74,232.51,1000,15.77,1
916.29,98.2,1000,2.8,1
1047.65,1019.12,1000,14.71,1
1022.7,921.06,1000,3.01,1
979.91,223.65,1000,11.95,1
1026.99,1026.99,1000,3.28,0
1125.16,79.39,1000,13.66,1
1017.89,417.39,1000,3.27,1
1054.12,333.29,1000,16.86,1
1027.25,761.02,1000,2.94,1
1042.42,207.28,1000,12.26,1
985.02,342.29,1000,2.97,1
968.66,968.66,1000,10.03,0
1130.79,1130.79,1000,3.04,0
1103.86,158.02,1000,16.82,1
1038.65,1038.65,1000,3.07,0
1133.1,1133.1,1000,14.32,0
1040.13,1040.13,1000,3.24,0
1113.26,1046.24,1000,9.7,1
992.68,992.68,1000,3.05,0
1144.36,981.45,1000,7.17,1
1085.38,528.78,1000,3.03,1
1108.44,81.85,1000,12.51,1
1218.37,1218.37,1000,2.97,0
1096.23,345.31,1000,9.83,1
1063.57,1063.57,1000,3.12,0
1165.66,93.73,1000,7.03,1
1016.69,243.32,1000,3.11,1
1038.53,153.62,1000,3.08,1
1140.15,458.25,1000,3.06,1
1128.39,1128.39,1000,8.33,0
1123.91,730.98,1000,2.84,1
1224.61,1224.61,1000,5.38,0
1280.93,1280.93,1000,3.16,0
1117.66,323.16,1000,5.91,1
1102.32,474.63,1000,3.07,1
1090.75,507.05,1000,5.68,1
1203.56,1203.56,1000,3.0,0
1241.46,1241.46,1000,5.98,0
1180.69,74.96,1000,2.94,1
1310.26,1310.26,1000,8.01,0
1184.77,1184.77,1000,3.12,0
1269.86,1269.86,1000,7.12,0
1254.66,1254.66,1000,2.99,0
1207.59,1207.59,1000,7.07,0
1192.48,1192.48,1000,3.05,0
1271.22,722.29,1000,7.29,1
1154.92,538.3,1000,2.91,1
1264.66,599.89,1000,7.15,1
1304.11,1304.11,1000,2.89,0
1145.18,374.68,1000,8.9,1
1360.98,1360.98,1000,2.96,0
1207.27,1207.27,1000,9.95,0
1303.14,1303.14,1000,3.17,0
1158.88,794.41,1000,5.92,1
1185.03,1185.03,1000,3.03,0
1365.45,1365.45,1000,7.29,0
1130.82,901.9,1000,3.17,1
1299.82,1299.82,1000,5.96,0
1225.78,1225.78,1000,2.97,0
1479.1,1479.1,1000,7.5,0
1377.35,1377.35,1000,3.2,0
1263.99,1263.99,1000,6.99,0
1180.43,875.71,1000,2.94,1
1200.78,699.51,1000,5.79,1
1406.12,1406.12,1000,3.29,0
1124.23,1124.23,1000,7.33,0
1297.62,1297.62,1000,3.28,0
1273.19,1273.19,1000,3.23,0
1280.87,1280.87,1000,3.22,0
1082.85,350.31,1000,5.6,1
1351.65,686.25,1000,2.99,1
1329.82,1329.82,1000,9.92,0
1538.6,1538.6,1000,3.0,0
1369.25,1369.25,1000,11.0,0
1203.03,675.87,1000,3.13,1
1443.45,1443.45,1000,5.83,0
1377.79,1377.79,1000,3.11,0
1443.7,1443.7,1000,5.8,0
1427.3,1427.3,1000,2.94,0
1321.97,1321.97,1000,8.25,0
1398.2,1398.2,1000,2.99,0
1278.47,1278.47,1000,5.49,0
1602.57,1602.57,1000,2.83,0
1220.58,1220.58,1000,5.55,0
1478.91,1478.91,1000,2.92,0
1193.33,1193.33,1000,8.49,0
1251.75,1251.75,1000,3.09,0
1314.59,468.47,1000,7.0,1
1480.19,1480.19,1000,2.79,0
1289.02,1289.02,1000,5.4,0
1555.55,1555.55,1000,2.85,0
1518.87,1518.87,1000,6.89,0
1553.9,189.98,1000,2.84,1
1504.36,1504.36,1000,6.86,0
1431.0,1431.0,1000,2.79,0
1434.7,1434.7,1000,8.09,0
1423.36,1423.36,1000,3.04,0
1428.23,1428.23,1000,8.01,0
1534.57,1534.57,1000,2.82,0
1275.36,1275.36,1000,6.7,0
1596.31,1596.31,1000,3.13,0
1433.4,1433.4,1000,13.59,0
1578.06,1578.06,1000,3.22,0
1469.52,1469.52,1000,6.23,0
1375.81,1375.81,1000,3.31,0
1476.48,1476.48,1000,14.1,0
1226.37,1006.86,1000,3.03,1
1613.49,1613.49,1000,3.24,0
1463.39,1463.39,1000,3.15,0
1361.29,1361.29,1000,5.77,0
1668.67,1668.67,1000,3.17,0
1839.47,1839.47,1000,7.23,0
1414.78,1414.78,1000,2.96,0
1673.54,1673.54,1000,7.11,0
1487.44,1487.44,1000,3.2,0
1600.25,1600.25,1000,6.02,0
1403.84,1403.84,1000,3.21,0
1891.31,1891.31,1000,12.3,0
1620.42,1620.42,1000,3.24,0
1338.05,1338.05,1000,11.45,0
1356.13,1356.13,1000,3.21,0
1536.97,1536.97,1000,5.86,0
1440.71,65.67,1000,2.96,1
1580.0,1580.0,1000,8.4,0
1397.07,1397.07,1000,3.07,0
1677.32,1677.32,1000,8.33,0
1774.92,1774.92,1000,3.12,0
1674.4,1674.4,1000,5.84,0
1372.89,1372.89,1000,3.2,0
1456.63,1456.63,1000,11.61,0
1778.15,1778.15,1000,3.06,0
1449.16,1449.16,1000,7.24,0
1676.88,1676.88,1000,3.09,0
1691.81,1691.81,1000,7.18,0
1625.49,1625.49,1000,3.09,0
1492.99,1492.99,1000,7.17,0
1927.68,1927.68,1000,3.0,0
1379.05,1379.05,1000,7.06,0
1677.22,1677.22,1000,3.16,0
1659.72,1659.72,1000,6.05,0
1961.85,1961.85,1000,3.09,0
1310.79,1310.79,1000,6.21,0
1892.33,1892.33,1000,3.26,0
1790.0,1790.0,1000,5.97,0
1503.38,1503.38,1000,3.22,0
1856.04,1856.04,1000,8.75,0
1625.61,1625.61,1000,3.26,0
1889.18,1889.18,1000,3.25,0
1681.08,1681.08,1000,3.09,0
1982.86,1982.86,1000,7.35,0
1824.82,1824.82,1000,3.26,0
2044.6,2044.6,1000,5.85,0
1858.78,1858.78,1000,3.06,0
1986.84,1986.84,1000,5.7,0
1844.31,1844.31,1000,2.99,0
1545.47,1545.47,1000,5.98,0
1840.36,1840.36,1000,3.31,0
1833.78,1833.78,1000,5.68,0
1923.73,1923.73,1000,2.99,0
1857.92,1857.92,1000,10.08,0
1689.28,1689.28,1000,3.0,0
1959.6,1959.6,1000,5.67,0
1341.26,153.42,1000,3.02,1
2146.57,2146.57,1000,7.28,0
1433.31,1433.31,1000,3.21,0
1483.8,1483.8,1000,9.93,0
1661.47,1661.47,1000,3.25,0
2003.52,2003.52,1000,5.91,0
1912.41,1912.41,1000,3.23,0
1843.87,1843.87,1000,7.36,0
1771.32,1771.32,1000,3.23,0
1988.96,1988.96,1000,9.02,0
2001.19,2001.19,1000,3.28,0
2114.36,2114.36,1000,8.6,0
1819.16,1819.16,1000,3.2,0
1789.22,1789.22,1000,7.28,0
1788.85,1788.85,1000,3.25,0
1889.11,1889.11,1000,4.51,0
2021.62,2021.62,1000,2.95,0
1747.84,1747.84,1000,7.05,0
1887.4,1887.4,1000,2.94,0
2089.28,2089.28,1000,5.8,0
1495.3,1495.3,1000,2.91,0
1853.38,1853.38,1000,7.01,0
1827.33,1827.33,1000,2.99,0
1920.37,1920.37,1000,8.43,0
1981.87,1981.87,1000,3.05,0
2240.36,2240.36,1000,3.0,0
2055.55,2055.55,1000,2.84,0
1947.97,1947.97,1000,5.49,0
1763.15,1763.15,1000,2.88,0
1973.7,1973.7,1000,8.21,0
2104.16,2104.16,1000,2.94,0
1933.56,1933.56,1000,5.47,0
2222.61,2222.61,1000,3.02,0
1629.02,1629.02,1000,5.57,0
1906.08,1906.08,1000,2.92,0
2092.7,2092.7,1000,8.53,0
1974.38,1974.38,1000,2.88,0
2337.06,2337.06,1000,8.37,0
1768.34,1768.34,1000,2.94,0
1649.08,1649.08,1000,5.94,0
1704.14,1704.14,1000,3.06,0
1985.92,1985.92,1000,6.73,0
2169.04,2169.04,1000,3.09,0
1784.81,1784.81,1000,5.85,0
2100.86,2100.86,1000,2.83,0
2388.72,2388.72,1000,5.79,0
2026.97,2026.97,1000,3.14,0
1403.24,1403.24,1000,8.5,0
2170.06,2170.06,1000,3.1,0
1872.86,1872.86,1000,7.91,0
2135.04,2135.04,1000,2.95,0
1951.04,1951.04,1000,5.85,0
1772.09,1772.09,1000,2.94,0
1734.76,1734.76,1000,5.36,0
2054.68,2054.68,1000,2.85,0
2010.53,2010.53,1000,6.98,0
2379.49,2379.49,1000,3.13,0
1967.95,1967.95,1000,7.0,0
2413.58,2413.58,1000,3.2,0
2184.85,2184.85,1000,5.96,0
2132.27,2132.27,1000,3.03,0
1911.71,1911.71,1000,7.13,0
2003.61,2003.61,1000,2.89,0
1705.79,1705.79,1000,4.37,0
2152.75,2152.75,1000,2.85,0
1449.64,1449.64,1000,3.1,0
2591.65,2591.65,1000,3.13,0
2149.32,2149.32,1000,5.81,0
2235.47,2235.47,1000,2.98,0
2473.97,2473.97,1000,5.88,0
1966.59,1966.59,1000,3.14,0
2061.25,2061.25,1000,5.65,0
2151.47,2151.47,1000,2.92,0
2247.17,2247.17,1000,6.84,0
2331.22,2331.22,1000,3.01,0
2538.59,2538.59,1000,5.69,0
1982.24,1982.24,1000,3.13,0
2349.95,2349.95,1000,6.76,0
1737.11,1737.11,1000,2.95,0
2600.84,2600.84,1000,5.61,0
2115.69,2115.69,1000,2.89,0
2011.48,2011.48,1000,7.23,0
2264.63,2264.63,1000,3.05,0
1925.59,1925.59,1000,6.0,0
1711.26,1711.26,1000,3.16,0
2169.09,2169.09,1000,6.32,0
2612.76,2612.76,1000,3.18,0
2288.5,2288.5,1000,6.0,0
1807.76,1807.76,1000,3.3,0
1863.21,1863.21,1000,9.14,0
2223.91,2223.91,1000,3.04,0
1930.73,1930.73,1000,7.53,0
1630.62,1630.62,1000,2.92,0
2266.39,2266.39,1000,5.94,0
1996.63,1996.63,1000,2.93,0
2267.68,2267.68,1000,5.71,0
1532.75,584.32,1000,2.99,1
2041.71,2041.71,1000,4.36,0
2363.93,2363.93,1000,2.95,0
2162.92,2162.92,1000,5.79,0
2272.36,2272.36,1000,2.97,0
2647.1,2647.1,1000,6.0,0
2307.31,2307.31,1000,3.08,0
2459.34,2459.34,1000,6.02,0
2020.19,2020.19,1000,2.97,0
1996.11,1996.11,1000,3.05,0
1640.87,1640.87,1000,3.18,0
1307.85,1307.85,1000,5.71,0
2497.61,2497.61,1000,3.21,0
2212.01,2212.01,1000,7.66,0
2086.87,2086.87,1000,3.3,0
2323.83,2323.83,1000,7.73,0
2322.87,2322.87,1000,3.25,0
