#{"t_start": 1650632091.4682016, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
265.57,87.1,1000,3.5,1
313.87,125.91,1000,3.47,1
237.19,237.19,1000,19.5,0
240.92,240.92,1000,3.48,0
275.67,275.67,1000,17.16,0
289.45,233.69,1000,3.44,1
304.25,47.95,1000,17.79,1
328.82,67.92,1000,3.45,1
387.95,387.95,1000,16.48,0
474.03,123.64,1000,3.44,1
451.63,312.68,1000,15.65,1
419.92,419.92,1000,3.45,0
413.77,176.35,1000,15.64,1
460.92,59.8,1000,3.45,1
470.97,266.86,1000,15.6,1
482.95,248.22,1000,3.45,1
538.42,166.57,1000,20.61,1
510.25,134.76,1000,3.43,1
585.24,113.18,1000,15.89,1
627.56,295.09,1000,3.46,1
612.99,73.5,1000,16.31,1
682.01,95.29,1000,3.44,1
639.24,394.53,1000,15.9,1
688.27,72.19,1000,3.45,1
669.1,669.1,1000,16.35,0
696.34,77.06,1000,3.44,1
742.31,54.16,1000,15.75,1
707.56,141.88,1000,3.48,1
822.7,58.23,1000,20.14,1
780.97,257.3,1000,3.44,1
799.65,67.28,1000,15.66,1
777.86,777.86,1000,3.45,0
918.13,52.66,1000,15.87,1
870.7,790.68,1000,3.44,1
833.41,431.02,1000,17.7,1
832.93,167.6,1000,3.45,1
884.85,884.85,1000,17.68,0
912.43,64.18,1000,3.45,1
911.36,94.36,1000,20.15,1
983.65,60.09,1000,3.45,1
1000.4,0,1000,3.45,1
895.31,335.53,1000,3.46,1
946.26,86.37,1000,6.38,1
981.42,401.3,1000,3.44,1
1018.38,78.06,1000,6.38,1
968.48,389.33,1000,3.46,1
1007.65,165.65,1000,10.68,1
968.16,380.82,1000,3.44,1
967.4,79.73,1000,7.22,1
1113.76,75.27,1000,3.44,1
1029.14,520.8,1000,10.63,1
947.23,87.43,1000,3.47,1
1027.04,193.13,1000,10.65,1
1058.6,51.69,1000,3.45,1
1103.05,77.43,1000,8.27,1
1111.52,90.93,1000,3.45,1
996.79,126.63,1000,10.64,1
1063.44,75.6,1000,3.44,1
1042.12,135.59,1000,12.01,1
1034.71,247.9,1000,3.46,1
1004.78,311.69,1000,10.64,1
1088.95,66.44,1000,3.48,1
1033.16,710.55,1000,8.42,1
1136.58,305.54,1000,3.47,1
1088.23,430.78,1000,8.57,1
1023.46,79.45,1000,3.5,1
1139.21,67.39,1000,10.78,1
1114.22,116.55,1000,3.46,1
1092.9,337.04,1000,8.26,1
1088.56,53.0,1000,3.46,1
1148.81,188.02,1000,8.36,1
1218.69,116.41,1000,3.48,1
1129.64,505.62,1000,9.59,1
1156.49,152.95,1000,3.46,1
1194.48,488.44,1000,6.8,1
1383.06,137.26,1000,3.45,1
1199.6,58.36,1000,8.34,1
1021.14,393.95,1000,3.47,1
1064.73,67.72,1000,6.69,1
1183.55,347.91,1000,3.47,1
1109.4,541.72,1000,3.47,1
1117.47,104.14,1000,3.45,1
1137.08,654.73,1000,5.96,1
1056.29,319.61,1000,3.44,1
1143.65,1087.56,1000,7.16,1
1159.92,1159.92,1000,3.47,0
1143.4,1143.4,1000,5.95,0
1182.09,1182.09,1000,3.47,0
1199.88,69.03,1000,7.15,1
1095.27,155.76,1000,3.46,1
1190.01,1190.01,1000,7.15,0
1144.83,162.94,1000,3.46,1
1178.47,871.94,1000,5.95,1
1109.83,1109.83,1000,3.46,0
1088.98,1088.98,1000,7.2,0
1139.03,1139.03,1000,3.47,0
1108.48,81.05,1000,6.81,1
1202.35,297.52,1000,3.48,1
1158.71,1158.71,1000,5.86,0
1234.44,540.49,1000,3.49,1
1091.57,835.21,1000,6.44,1
1109.37,1109.37,1000,3.48,0
1191.67,357.1,1000,5.9,1
1115.06,1115.06,1000,3.48,0
1102.25,252.07,1000,6.38,1
1288.38,1288.38,1000,3.43,0
1189.25,1189.25,1000,5.99,0
1273.09,1273.09,1000,3.46,0
1277.93,1277.93,1000,6.35,0
1133.26,1048.44,1000,3.49,1
1230.09,1230.09,1000,6.82,0
1194.24,1194.24,1000,3.45,0
1150.97,1150.97,1000,7.16,0
1109.72,542.89,1000,3.46,1
1160.08,683.3,1000,5.86,1
1203.22,436.17,1000,3.47,1
1343.8,1343.8,1000,6.01,0
1100.4,130.54,1000,3.47,1
1206.76,1206.76,1000,7.0,0
1335.95,1335.95,1000,3.46,0
1121.38,1121.38,1000,3.45,0
1370.23,1370.23,1000,3.46,0
1208.72,1208.72,1000,6.33,0
1137.73,1135.97,1000,3.45,1
1164.13,548.34,1000,6.36,1
1134.14,1134.14,1000,3.47,0
1253.44,1253.44,1000,6.36,0
1241.96,1241.96,1000,3.46,0
1081.47,297.48,1000,6.37,1
1268.61,1268.61,1000,3.47,0
1197.97,684.4,1000,5.88,1
1091.77,234.16,1000,3.48,1
1171.28,577.73,1000,5.87,1
1386.88,1386.88,1000,3.46,0
1263.31,1263.31,1000,5.8,0
1253.19,1253.19,1000,3.47,0
1307.71,1307.71,1000,8.74,0
1320.19,1320.19,1000,3.51,0
1394.57,1394.57,1000,6.0,0
1476.07,1476.07,1000,3.47,0
1214.3,1214.3,1000,4.93,0
1203.06,1203.06,1000,3.46,0
1170.28,1170.28,1000,6.78,0
1514.69,1514.69,1000,3.47,0
1391.4,1391.4,1000,5.87,0
1315.01,1315.01,1000,3.45,0
1542.17,1542.17,1000,6.82,0
1179.99,1179.99,1000,3.45,0
1130.58,587.48,1000,6.62,1
1181.36,1181.36,1000,3.47,0
1361.2,1361.2,1000,6.01,0
1248.97,1248.97,1000,3.46,0
1333.37,1333.37,1000,6.37,0
1435.97,1435.97,1000,3.47,0
1212.27,1212.27,1000,8.52,0
1204.24,1204.24,1000,3.46,0
1170.85,1170.85,1000,5.94,0
1209.05,1209.05,1000,3.48,0
1066.93,661.84,1000,5.97,1
1037.21,508.2,1000,3.48,1
1195.16,1195.16,1000,3.48,0
1365.4,1365.4,1000,3.46,0
1372.74,1372.74,1000,6.87,0
1062.72,1062.72,1000,3.49,0
1214.86,1214.86,1000,5.93,0
1250.49,254.54,1000,3.51,1
1454.87,1454.87,1000,6.39,0
1362.16,1362.16,1000,3.46,0
1275.54,1275.54,1000,6.38,0
1394.79,1394.79,1000,3.45,0
1512.8,1512.8,1000,4.62,0
1339.06,1339.06,1000,3.46,0
1276.37,1276.37,1000,5.07,0
1582.62,1582.62,1000,3.46,0
1477.38,1477.38,1000,5.86,0
1500.28,1500.28,1000,3.46,0
1381.8,1381.8,1000,4.93,0
1337.98,1337.98,1000,3.46,0
1487.36,1487.36,1000,5.86,0
1527.44,1527.44,1000,3.48,0
1138.65,1138.65,1000,6.34,0
1192.19,1192.19,1000,3.46,0
1052.21,1052.21,1000,5.85,0
1304.99,1304.99,1000,3.46,0
1239.07,1239.07,1000,5.07,0
1494.64,1494.64,1000,3.47,0
1097.63,1097.63,1000,4.74,0
1634.34,1634.34,1000,3.47,0
1369.74,1369.74,1000,5.06,0
1396.79,1396.79,1000,3.45,0
1029.36,1029.36,1000,8.41,0
1570.86,1570.86,1000,3.45,0
1755.13,1755.13,1000,5.92,0
1139.48,1139.48,1000,3.46,0
1600.8,1600.8,1000,5.27,0
1068.03,1068.03,1000,3.47,0
1290.5,1290.5,1000,6.34,0
1191.25,1191.25,1000,3.47,0
994.13,316.32,1000,4.97,1
1657.33,1657.33,1000,3.46,0
1389.61,1389.61,1000,3.46,0
1084.27,1084.27,1000,3.48,0
1459.59,1459.59,1000,4.77,0
1076.29,1076.29,1000,3.46,0
1282.62,1282.62,1000,6.82,0
1402.01,1402.01,1000,3.48,0
1278.72,1278.72,1000,4.72,0
1295.9,1295.9,1000,3.46,0
1424.0,1424.0,1000,4.64,0
1642.89,1642.89,1000,3.47,0
999.24,999.24,1000,5.09,0
1868.58,1868.58,1000,3.48,0
1714.8,1714.8,1000,5.27,0
1142.69,1142.69,1000,3.48,0
1329.42,1329.42,1000,4.74,0
1660.16,1660.16,1000,3.51,0
1011.43,1011.43,1000,4.74,0
984.53,984.53,1000,3.48,0
1011.32,1011.32,1000,4.64,0
1711.7,1711.7,1000,3.47,0
1681.32,1681.32,1000,5.88,0
1753.7,1753.7,1000,3.45,0
1635.62,1635.62,1000,6.37,0
1837.7,1837.7,1000,3.48,0
1504.52,1504.52,1000,7.77,0
1451.23,1451.23,1000,3.46,0
1553.66,1553.66,1000,6.98,0
1278.83,1278.83,1000,3.46,0
1027.96,1027.96,1000,4.72,0
1701.68,1701.68,1000,3.47,0
