#{"t_start": 1650556349.6770952, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
348.84,63.79,1000,3.56,1
237.28,237.28,1000,3.54,0
230.99,66.86,1000,15.3,1
228.56,228.56,1000,3.45,0
291.12,47.1,1000,14.68,1
304.81,304.81,1000,3.44,0
332.66,332.66,1000,15.93,0
390.48,390.48,1000,3.45,0
368.7,368.7,1000,14.59,0
441.57,66.82,1000,3.44,1
410.96,105.41,1000,14.6,1
444.73,444.73,1000,3.44,0
528.51,69.51,1000,14.71,1
475.65,475.65,1000,3.46,0
483.24,483.24,1000,15.57,0
490.14,267.0,1000,3.45,1
489.07,98.13,1000,15.56,1
533.11,187.05,1000,3.42,1
556.32,389.01,1000,14.6,1
494.78,156.18,1000,3.44,1
578.05,291.95,1000,14.58,1
661.89,661.89,1000,3.41,0
743.22,569.15,1000,14.58,1
651.89,494.98,1000,3.48,1
695.21,695.21,1000,15.68,0
681.75,681.75,1000,3.42,0
696.29,696.29,1000,13.44,0
762.01,734.5,1000,3.43,1
827.35,671.71,1000,14.54,1
779.82,274.48,1000,3.43,1
832.68,128.91,1000,12.32,1
777.36,178.54,1000,3.43,1
870.2,574.69,1000,14.56,1
855.83,58.54,1000,3.45,1
938.02,384.05,1000,15.41,1
864.07,67.1,1000,3.47,1
886.89,886.89,1000,12.0,0
903.03,238.73,1000,3.43,1
884.36,173.82,1000,15.4,1
917.8,189.8,1000,3.43,1
882.0,0,1000,3.44,1
940.47,67.35,1000,3.44,1
979.36,979.36,1000,6.82,0
875.72,132.61,1000,3.43,1
939.66,864.35,1000,8.06,1
984.97,663.8,1000,3.45,1
929.11,666.42,1000,7.93,1
893.37,893.37,1000,3.45,0
937.92,937.92,1000,11.3,0
949.37,191.18,1000,3.44,1
1016.34,222.37,1000,12.86,1
933.45,933.45,1000,3.42,0
929.52,150.42,1000,7.94,1
1056.1,395.25,1000,3.44,1
1086.2,1086.2,1000,10.87,0
980.81,135.3,1000,3.43,1
1009.9,165.82,1000,7.92,1
1037.15,66.11,1000,3.42,1
1069.37,511.82,1000,10.91,1
921.72,87.34,1000,3.45,1
967.24,967.24,1000,12.13,0
956.56,841.55,1000,3.45,1
1000.79,473.89,1000,7.97,1
1036.72,188.05,1000,3.44,1
948.1,835.48,1000,6.83,1
1032.01,132.91,1000,3.46,1
1027.5,303.84,1000,7.94,1
986.52,96.08,1000,3.46,1
978.03,245.89,1000,7.97,1
1049.04,102.9,1000,3.46,1
1012.29,137.11,1000,6.87,1
1024.08,1024.08,1000,3.46,0
1083.44,623.39,1000,5.78,1
1029.17,164.99,1000,3.45,1
990.34,287.26,1000,7.12,1
1070.91,1070.91,1000,3.45,0
1071.56,453.79,1000,5.74,1
1134.13,342.15,1000,3.45,1
977.56,977.56,1000,7.94,0
1114.1,436.77,1000,3.45,1
1106.65,0,1000,3.44,1
1028.02,653.8,1000,3.44,1
976.66,976.66,1000,5.73,0
1034.73,1034.73,1000,3.45,0
1128.04,939.47,1000,5.87,1
962.2,152.61,1000,3.45,1
1036.6,264.67,1000,5.79,1
957.7,957.7,1000,3.44,0
1031.64,916.26,1000,5.73,1
1142.04,505.83,1000,3.46,1
1014.36,833.53,1000,5.73,1
1229.1,1229.1,1000,3.44,0
1086.27,569.0,1000,6.04,1
1023.05,1023.05,1000,3.47,0
1109.54,1109.54,1000,5.9,0
1055.31,1055.31,1000,3.44,0
1084.56,1084.56,1000,6.87,0
1064.57,1064.57,1000,3.46,0
1154.94,63.99,1000,5.71,1
1143.85,1143.85,1000,3.43,0
1024.71,303.34,1000,5.71,1
1112.97,1112.97,1000,3.47,0
1030.8,1030.8,1000,5.72,0
1130.16,1130.16,1000,3.46,0
1086.46,1086.46,1000,6.03,0
1121.56,1121.56,1000,3.44,0
1104.02,1104.02,1000,4.6,0
1178.11,1178.11,1000,3.45,0
1102.19,1102.19,1000,5.71,0
977.49,815.56,1000,3.46,1
1208.08,1208.08,1000,5.71,0
1149.24,218.07,1000,3.44,1
1172.43,1172.43,1000,6.03,0
1150.29,1150.29,1000,3.45,0
1211.77,1211.77,1000,5.72,0
1072.92,1072.92,1000,3.44,0
1051.7,1051.7,1000,5.72,0
1145.09,1145.09,1000,3.44,0
1144.87,1144.87,1000,5.87,0
1255.79,1255.79,1000,3.45,0
1171.71,884.09,1000,3.45,1
1238.23,1238.23,1000,3.45,0
1157.84,678.67,1000,4.62,1
1214.23,1214.23,1000,3.45,0
1197.36,1197.36,1000,4.61,0
1327.7,1327.7,1000,3.45,0
1212.22,1212.22,1000,5.87,0
1212.55,1212.55,1000,3.45,0
1286.37,1286.37,1000,5.88,0
1249.55,1249.55,1000,3.44,0
1376.14,1376.14,1000,5.88,0
1234.33,1234.33,1000,3.46,0
1384.2,1384.2,1000,6.01,0
1275.13,1275.13,1000,3.44,0
1160.52,1160.52,1000,4.62,0
1406.13,1406.13,1000,3.45,0
1240.77,1240.77,1000,4.61,0
1169.35,1169.35,1000,3.45,0
1118.78,177.95,1000,4.61,1
1377.47,1377.47,1000,3.43,0
1383.37,1383.37,1000,5.85,0
1338.65,1338.65,1000,3.44,0
1523.31,1523.31,1000,5.71,0
1324.8,1324.8,1000,3.43,0
1340.22,1340.22,1000,5.72,0
1504.46,1504.46,1000,3.44,0
1597.06,1597.06,1000,5.99,0
1261.81,1261.81,1000,3.44,0
1226.71,1226.71,1000,7.12,0
1416.52,1416.52,1000,3.43,0
1219.01,1219.01,1000,5.87,0
1249.96,1249.96,1000,3.45,0
1172.07,1172.07,1000,4.6,0
1457.48,1457.48,1000,3.44,0
1470.41,1470.41,1000,4.61,0
1453.93,1453.93,1000,3.44,0
1349.68,1349.68,1000,6.01,0
1294.56,1294.56,1000,3.43,0
1500.06,1500.06,1000,4.63,0
1547.73,1547.73,1000,3.44,0
1217.78,1217.78,1000,3.43,0
1620.97,1620.97,1000,3.44,0
1496.47,1496.47,1000,4.78,0
1216.24,1216.24,1000,3.46,0
1741.76,1741.76,1000,4.66,0
1470.53,1470.53,1000,3.44,0
1600.44,1600.44,1000,5.71,0
1466.06,1466.06,1000,3.44,0
1328.6,1328.6,1000,5.72,0
1625.95,1625.95,1000,3.44,0
1734.69,1734.69,1000,5.72,0
1651.14,1651.14,1000,3.45,0
1470.23,1470.23,1000,5.72,0
1732.25,1732.25,1000,3.46,0
1358.09,1358.09,1000,5.92,0
1483.56,1483.56,1000,3.48,0
1333.4,1333.4,1000,5.74,0
1695.61,1695.61,1000,3.48,0
1274.74,1274.74,1000,4.66,0
1791.48,1791.48,1000,3.45,0
1307.53,1307.53,1000,5.72,0
1798.3,1798.3,1000,3.45,0
1329.5,1329.5,1000,4.61,0
1875.15,1875.15,1000,3.46,0
1270.6,1270.6,1000,5.73,0
1605.15,1605.15,1000,3.45,0
1812.05,1812.05,1000,4.63,0
1861.69,1861.69,1000,3.45,0
1892.63,1892.63,1000,4.61,0
1779.92,1779.92,1000,3.45,0
1695.15,1695.15,1000,5.72,0
1471.42,1471.42,1000,3.43,0
1182.08,1182.08,1000,5.73,0
1689.59,1689.59,1000,3.45,0
1844.36,1844.36,1000,5.72,0
1921.58,1921.58,1000,3.44,0
1694.24,1694.24,1000,4.61,0
1651.3,1651.3,1000,3.45,0
1800.4,1800.4,1000,4.6,0
1851.95,1851.95,1000,3.45,0
1914.91,1914.91,1000,3.44,0
2030.86,2030.86,1000,3.45,0
2051.44,2051.44,1000,4.63,0
1741.4,1741.4,1000,3.45,0
1293.8,1293.8,1000,5.87,0
2148.98,2148.98,1000,3.45,0
1644.03,1644.03,1000,5.73,0
1986.04,1986.04,1000,3.43,0
2014.78,2014.78,1000,4.63,0
1733.67,1733.67,1000,3.44,0
1722.56,1722.56,1000,4.62,0
1775.99,1775.99,1000,3.45,0
2064.19,2064.19,1000,4.62,0
1786.04,1786.04,1000,3.45,0
1577.56,1577.56,1000,4.62,0
1949.07,1949.07,1000,3.44,0
1528.01,1528.01,1000,4.62,0
1598.25,1598.25,1000,3.44,0
2191.03,2191.03,1000,4.63,0
1991.07,1991.07,1000,3.46,0
2131.86,2131.86,1000,4.77,0
2071.34,2071.34,1000,3.47,0
1845.66,1845.66,1000,5.88,0
1920.27,1920.27,1000,3.46,0
2055.71,2055.71,1000,4.62,0
1820.98,1820.98,1000,3.47,0
1895.75,1895.75,1000,4.62,0
2137.27,2137.27,1000,3.44,0
2336.37,2336.37,1000,4.62,0
1329.04,1329.04,1000,3.45,0
2080.24,2080.24,1000,5.89,0
1640.53,1640.53,1000,3.46,0
2219.47,2219.47,1000,4.6,0
2142.3,2142.3,1000,3.44,0
2245.99,2245.99,1000,5.88,0
1501.55,1501.55,1000,3.45,0
2050.88,2050.88,1000,4.63,0
2232.86,2232.86,1000,3.44,0
2063.92,2063.92,1000,4.6,0
2593.23,2593.23,1000,3.45,0
2141.54,2141.54,1000,3.46,0
1996.61,1996.61,1000,3.45,0
2234.03,2234.03,1000,4.62,0
2227.2,2227.2,1000,3.46,0
2151.14,2151.14,1000,4.64,0
2321.24,2321.24,1000,3.48,0
2174.78,2174.78,1000,4.63,0
2276.81,2276.81,1000,3.46,0
2372.56,2372.56,1000,4.62,0
2591.7,2591.7,1000,3.45,0
2320.41,2320.41,1000,4.63,0
1451.91,1451.91,1000,3.46,0
1898.69,1898.69,1000,4.63,0
2367.88,2367.88,1000,3.45,0
2504.49,2504.49,1000,4.63,0
2616.29,2616.29,1000,3.44,0
2225.41,2225.41,1000,4.77,0
1846.54,1846.54,1000,3.43,0
2154.87,2154.87,1000,4.75,0
2465.43,2465.43,1000,3.46,0
2489.17,2489.17,1000,4.65,0
2562.4,2562.4,1000,3.48,0
2569.4,2569.4,1000,4.62,0
2420.95,2420.95,1000,3.45,0
2372.66,2372.66,1000,4.66,0
1563.14,1563.14,1000,3.47,0
1873.04,1873.04,1000,4.62,0
2726.42,2726.42,1000,3.46,0
2787.03,2787.03,1000,4.62,0
2712.2,2712.2,1000,3.47,0
2645.28,2645.28,1000,4.61,0
2680.49,2680.49,1000,3.45,0
2550.61,2550.61,1000,4.62,0
