#{"t_start": 1650531608.7288592, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
263.47,137.39,1000,3.46,1
229.29,229.29,1000,3.49,0
310.1,61.59,1000,14.31,1
240.66,163.69,1000,3.37,1
290.99,68.49,1000,15.32,1
309.16,309.16,1000,3.35,0
329.69,329.69,1000,14.43,0
308.85,308.85,1000,3.36,0
409.12,76.54,1000,14.22,1
396.83,98.47,1000,3.36,1
395.31,378.04,1000,14.57,1
400.1,309.19,1000,3.49,1
366.89,280.66,1000,15.04,1
426.29,67.07,1000,3.35,1
449.1,350.92,1000,15.54,1
512.35,491.39,1000,3.36,1
549.8,44.96,1000,15.28,1
540.61,540.61,1000,3.35,0
494.76,494.76,1000,15.06,0
559.19,174.91,1000,3.42,1
650.3,288.45,1000,12.5,1
663.79,329.84,1000,3.35,1
667.86,667.86,1000,15.58,0
677.84,677.84,1000,3.36,0
708.69,441.6,1000,15.46,1
718.45,718.45,1000,3.45,0
728.89,220.01,1000,15.66,1
680.46,123.9,1000,3.35,1
681.55,148.29,1000,15.54,1
747.27,240.32,1000,3.36,1
801.52,329.83,1000,15.49,1
719.33,239.58,1000,3.54,1
853.63,487.33,1000,15.18,1
777.9,284.3,1000,3.37,1
873.97,289.53,1000,15.58,1
886.71,225.88,1000,3.64,1
877.95,191.38,1000,11.25,1
972.24,250.55,1000,3.36,1
921.07,921.07,1000,15.18,0
942.77,942.77,1000,3.35,0
978.09,0,1000,3.37,1
965.03,315.99,1000,3.36,1
921.36,175.63,1000,5.59,1
1031.41,1031.41,1000,3.36,0
913.75,344.67,1000,8.45,1
936.26,377.05,1000,3.7,1
1062.95,63.5,1000,9.82,1
1071.92,1071.92,1000,3.38,0
963.73,269.71,1000,7.05,1
991.41,657.69,1000,3.46,1
1040.52,186.12,1000,7.1,1
1063.37,100.7,1000,3.45,1
1079.38,499.11,1000,8.26,1
1030.44,513.43,1000,3.35,1
1052.54,244.75,1000,8.59,1
1058.2,253.01,1000,3.65,1
1099.78,224.39,1000,7.87,1
1045.25,343.34,1000,3.61,1
1172.06,614.94,1000,9.31,1
1075.51,163.58,1000,3.39,1
1005.1,155.75,1000,8.21,1
1192.98,186.21,1000,3.5,1
1031.37,221.57,1000,8.52,1
1168.73,90.04,1000,3.62,1
1121.35,320.96,1000,7.43,1
1133.44,896.87,1000,3.72,1
1076.51,133.56,1000,5.94,1
1152.9,109.61,1000,3.6,1
1062.37,670.03,1000,6.84,1
1117.62,213.36,1000,3.37,1
1080.52,171.97,1000,7.17,1
1103.33,506.49,1000,3.52,1
1108.54,173.96,1000,7.85,1
1150.97,132.73,1000,3.41,1
1030.03,1030.03,1000,9.78,0
1113.67,357.54,1000,3.5,1
1109.36,1109.36,1000,8.44,0
1072.29,189.22,1000,3.37,1
1047.42,479.64,1000,6.62,1
1142.83,889.29,1000,3.35,1
1054.4,0,1000,3.55,1
1119.05,110.24,1000,3.55,1
1123.8,124.34,1000,7.33,1
1108.73,1108.73,1000,3.6,0
1089.08,133.15,1000,5.56,1
1130.77,381.8,1000,3.35,1
1169.69,1169.69,1000,5.7,0
1063.13,1063.13,1000,3.34,0
1071.84,1071.84,1000,6.93,0
1057.54,1057.54,1000,3.51,0
1203.38,1203.38,1000,5.7,0
1097.98,1097.98,1000,3.36,0
1082.68,482.08,1000,5.7,1
1119.43,1119.43,1000,3.35,0
1138.51,1138.51,1000,5.57,0
1203.89,1203.89,1000,3.35,0
1148.99,572.73,1000,5.74,1
1119.32,70.67,1000,3.36,1
1212.21,486.31,1000,7.01,1
1168.71,419.63,1000,3.38,1
1145.84,1047.54,1000,6.95,1
1110.44,623.56,1000,3.49,1
1189.55,455.57,1000,5.81,1
1195.49,1195.49,1000,3.36,0
1121.44,64.78,1000,5.56,1
1217.72,1217.72,1000,3.35,0
1169.25,327.91,1000,5.58,1
1106.14,1106.14,1000,3.35,0
1113.54,1113.54,1000,5.56,0
1112.68,1112.68,1000,3.36,0
1039.78,549.7,1000,5.56,1
1152.99,111.04,1000,3.35,1
1060.45,1060.45,1000,5.81,0
1175.26,1175.26,1000,3.34,0
1137.81,940.39,1000,5.78,1
1220.05,1220.05,1000,3.35,0
1244.71,1244.71,1000,5.58,0
1077.08,890.39,1000,3.34,1
1240.21,1240.21,1000,5.59,0
1177.94,926.47,1000,3.34,1
1290.95,1290.95,1000,3.35,0
1219.64,1208.21,1000,3.36,1
1111.51,1111.51,1000,5.59,0
1194.34,1194.34,1000,3.35,0
1111.51,578.49,1000,5.55,1
1150.68,984.99,1000,3.35,1
1207.43,1207.43,1000,5.56,0
