#{"t_start": 1650540767.2342386, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
190.2,70.1,1000,2.86,1
247.71,188.7,1000,2.71,1
248.32,95.17,1000,13.47,1
300.78,136.14,1000,2.72,1
218.19,218.19,1000,12.31,0
271.54,41.65,1000,2.68,1
222.66,222.66,1000,12.3,0
295.19,75.21,1000,2.6,1
219.56,185.23,1000,14.42,1
332.22,332.22,1000,3.39,0
384.75,272.66,1000,16.21,1
248.78,248.78,1000,3.25,0
299.43,45.9,1000,14.64,1
332.97,52.68,1000,2.79,1
243.66,243.66,1000,14.38,0
359.59,51.54,1000,3.38,1
278.85,80.97,1000,15.03,1
343.88,46.93,1000,3.41,1
397.71,62.65,1000,14.99,1
358.05,71.13,1000,3.19,1
405.51,44.81,1000,14.0,1
226.63,131.56,1000,3.01,1
354.47,354.47,1000,15.39,0
359.35,76.7,1000,2.74,1
236.81,40.95,1000,12.67,1
377.6,136.18,1000,2.83,1
369.8,194.74,1000,13.85,1
261.12,261.12,1000,2.74,0
289.88,102.77,1000,13.87,1
360.23,360.23,1000,2.68,0
349.75,75.34,1000,13.76,1
267.07,267.07,1000,2.75,0
408.5,161.16,1000,12.28,1
238.26,238.26,1000,2.77,0
231.79,231.79,1000,13.83,0
235.49,213.94,1000,2.75,1
232.58,232.58,1000,14.65,0
383.21,383.21,1000,2.76,0
268.4,268.4,1000,12.41,0
248.88,248.88,1000,2.81,0
327.9,327.9,1000,14.0,0
286.6,169.7,1000,2.7,1
393.16,128.41,1000,2.77,1
307.34,307.34,1000,14.01,0
289.25,255.9,1000,2.76,1
242.64,242.64,1000,14.63,0
195.13,195.13,1000,2.77,0
243.24,243.24,1000,12.54,0
234.95,234.95,1000,2.78,0
303.49,303.49,1000,12.47,0
245.62,245.62,1000,2.74,0
208.8,208.8,1000,11.8,0
274.57,274.57,1000,2.62,0
236.54,236.54,1000,15.53,0
344.13,344.13,1000,3.47,0
242.69,242.69,1000,16.15,0
358.88,358.88,1000,3.2,0
257.08,257.08,1000,7.87,0
384.23,384.23,1000,3.44,0
229.82,229.82,1000,15.51,0
391.9,391.9,1000,3.42,0
250.33,250.33,1000,15.67,0
406.64,101.76,1000,2.97,1
341.41,71.62,1000,15.77,1
272.51,272.51,1000,3.13,0
382.88,382.88,1000,7.36,0
433.45,433.45,1000,2.68,0
240.71,240.71,1000,14.06,0
212.23,212.23,1000,2.77,0
243.22,243.22,1000,6.8,0
412.52,412.52,1000,2.76,0
239.52,239.52,1000,13.91,0
353.04,353.04,1000,2.78,0
292.0,292.0,1000,14.69,0
263.06,263.06,1000,2.76,0
